LMP entered CM.|1969-07-20T01:07:00|2019-07-20T01:07:00
CDR and LMP entered LM for final preparations for descent.|1969-07-20T12:52:00|2019-07-20T12:52:00
LMP entered CM.|1969-07-20T14:32:00|2019-07-20T14:32:00
LMP entered LM.|1969-07-20T15:02:00|2019-07-20T15:02:00
LM system checks started.|1969-07-20T15:17:00|2019-07-20T15:17:00
LM system checks ended.|1969-07-20T17:32:00|2019-07-20T17:32:00
CSM/LM undocked.|1969-07-20T17:44:00|2019-07-20T17:44:00
CSM/LM separation maneuver ignition.|1969-07-20T18:11:52|2019-07-20T18:11:52
CSM/LM separation maneuver cutoff.|1969-07-20T18:12:01|2019-07-20T18:12:01
LM descent orbit insertion ignition (LM SPS).|1969-07-20T19:08:14|2019-07-20T19:08:14
LM descent orbit insertion cutoff.|1969-07-20T19:08:44|2019-07-20T19:08:44
LM acquisition of data.|1969-07-20T19:49:17|2019-07-20T19:49:17
LM landing radar on.|1969-07-20T19:52:53|2019-07-20T19:52:53
LM abort guidance aligned to primary guidance.|1969-07-20T19:56:40|2019-07-20T19:56:40
LM yaw maneuver to obtain improved communications.|1969-07-20T19:59:32|2019-07-20T19:59:32
LM altitude 50,000 feet.|1969-07-20T20:04:55|2019-07-20T20:04:55
LM propellant settling firing started.|1969-07-20T20:04:58|2019-07-20T20:04:58
LM powered descent engine ignition.|1969-07-20T20:05:05|2019-07-20T20:05:05
LM fixed throttle position.|1969-07-20T20:05:31|2019-07-20T20:05:31
LM face-up maneuver completed.|1969-07-20T20:09:59|2019-07-20T20:09:59
LM 1202 alarm.|1969-07-20T20:10:22|2019-07-20T20:10:22
LM radar updates enabled.|1969-07-20T20:10:45|2019-07-20T20:10:45
LM altitude less than 30,000 feet and velocity less than 2,000 feet per second (landing radar velocity update started).|1969-07-20T20:10:50|2019-07-20T20:10:50
LM 1202 alarm.|1969-07-20T20:11:02|2019-07-20T20:11:02
LM throttle recovery.|1969-07-20T20:11:31|2019-07-20T20:11:31
LM approach phase entered.|1969-07-20T20:13:32|2019-07-20T20:13:32
LM landing radar antenna to position 2.|1969-07-20T20:13:37|2019-07-20T20:13:37
LM attitude hold mode selected (check of LM handling qualities).|1969-07-20T20:13:53|2019-07-20T20:13:53
LM automatic guidance enabled.|1969-07-20T20:14:03|2019-07-20T20:14:03
LM 1201 alarm.|1969-07-20T20:14:18|2019-07-20T20:14:18
LM landing radar switched to low scale.|1969-07-20T20:14:19|2019-07-20T20:14:19
LM 1202 alarm.|1969-07-20T20:14:43|2019-07-20T20:14:43
LM 1202 alarm.|1969-07-20T20:14:58|2019-07-20T20:14:58
LM landing point redesignation.|1969-07-20T20:15:09|2019-07-20T20:15:09
LM altitude hold.|1969-07-20T20:15:13|2019-07-20T20:15:13
LM abort guidance attitude updated.|1969-07-20T20:15:20|2019-07-20T20:15:20
LM rate of descent landing phase entered.|1969-07-20T20:15:22|2019-07-20T20:15:22
LM landing radar data not good.|1969-07-20T20:16:11|2019-07-20T20:16:11
